Year,Month,Day,MHD,MLO,SMO,CGO,MHD2,MLO2,SMO2,CGO2,MHD3,MLO3,SMO3,CGO3
2014,1,16,1899.61,1840.74,1779.05,1755.28,1908.384277,1843.890503,1782.502319,1761.540161,1907.806641,1843.726929,1782.489014,1761.540161
2014,2,16,1896.42,1831.11,1775,1751.67,1906.714478,1835.626343,1778.634277,1761.578369,1905.702515,1835.252441,1778.568481,1761.577759
2014,3,16,1901.3,1846.96,1773.03,1756.47,1911.125977,1836.514526,1781.239014,1764.978516,1909.837158,1836.011963,1781.10437,1764.970215
2014,4,16,1908.79,1855.53,1769.44,1762.62,1927.587036,1867.957153,1767.18811,1770.205811,1925.72937,1867.100342,1767.098267,1770.179565
2014,5,16,1900.09,1844.28,1772.71,1769.84,1925.286133,1855.610474,1770.510498,1775.142212,1923.053711,1854.491699,1770.386353,1775.085938
2014,6,16,1881.56,1831.43,1782.67,1779.87,1899.304321,1852.094238,1779.598022,1783.676636,1896.375854,1850.729614,1779.389648,1783.576416
2014,7,16,1875.44,1818.93,1790.53,1787.51,1907.178711,1826.932983,1785.17395,1791.974609,1902.66748,1825.417114,1784.835693,1791.80249
2014,8,16,1883.17,1824.36,1790.95,1790.58,1917.618774,1829.565552,1782.995117,1793.692505,1913.27124,1827.703735,1782.572388,1793.420532
2014,9,16,1898.05,1840.96,1787.43,1792.47,1945.078369,1833.72229,1777.334229,1792.817505,1940.766968,1831.523071,1776.75769,1792.436646
2014,10,16,1907.09,1844.05,1786.65,1791.88,1916.737305,1848.321899,1776.255493,1789.337524,1912.617798,1845.597412,1775.490479,1788.837158
2014,11,16,1906.44,1854.85,1784.14,1786.87,1938.401123,1868.445068,1769.664673,1782.230835,1934.047607,1865.402344,1768.665527,1781.627319
2014,12,16,1914.98,1863.8,1783.34,1780.16,1911.318359,1877.819336,1778.946045,1773.481812,1907.357666,1874.716309,1777.606934,1772.774658
2015,1,16,1919.7,1853.44,1788.69,1772.25,1911.559814,1856.773926,1790.52063,1767.638062,1907.391724,1853.720215,1788.759644,1766.808105
2015,2,16,1914.85,1848.78,1792.59,1766.43,1908.581299,1848.173096,1791.151489,1765.637207,1904.742065,1845.169556,1789.372192,1764.652588
2015,3,16,1914.13,1858.28,1791.27,1766.94,1919.372559,1866.388062,1791.63501,1767.352173,1915.340454,1863.233887,1789.784424,1766.191162
2015,4,16,1911.85,1866.25,1785.07,1773.34,1925.165161,1870.536743,1778.28125,1771.565063,1920.846191,1867.371582,1776.530884,1770.241943
2015,5,16,1905.46,1862.28,1783.1,1780.08,1909.428711,1873.374023,1774.420776,1779.886597,1904.823242,1870.005615,1772.753662,1778.412964
2015,6,16,1893.69,1844.51,1791.18,1787.63,1900.536987,1850.263794,1781.685303,1789.341431,1895.338379,1846.790039,1779.931274,1787.728271
2015,7,16,1885.7,1831.97,1797.51,1796.62,1898.16394,1830.608887,1788.030884,1794.50354,1892.748169,1827.195312,1786.177612,1792.772705
2015,8,16,1893.78,1827.63,1800.59,1801.28,1907.757935,1817.928101,1790.893311,1797.901123,1901.868042,1814.383667,1788.901733,1796.008301
2015,9,16,1911.33,1840.31,1800.39,1802.84,1929.578857,1830.652588,1785.990356,1798.021851,1923.375977,1826.727539,1783.829468,1795.967041
2015,10,16,1917.05,1860.37,1796.82,1802.52,1922.898926,1838.018555,1781.095947,1793.449341,1917.225586,1833.617676,1778.770264,1791.293945
2015,11,16,1908.85,1866.23,1789.88,1797.61,1911.085938,1871.758057,1769.511108,1785.748901,1905.147949,1867.033813,1767.036499,1783.513916
2015,12,16,1917.09,1863.4,1788.36,1788.27,1910.410645,1876.534668,1775.957764,1776.942505,1904.550171,1871.798828,1773.246948,1774.619873
